StockSymbol,CompanyName
003H11,KINEA CO-INVESTIMENTO FDO INV IMOB
A1AP34,ADVANCE AUTO PARTS INC
A1BM34,ABIOMED Inc
A1CR34,AMCOR PLC
A1DI34,ANALOG DEVICES INC
A1DM34,ARCHER-DANIELS-MIDLAND CO
A1EE34,AMEREN CORP
A1EN34,ALLIANT ENERGY CORP
A1EP34,AMERICAN ELECTRIC POWER CO INC
A1ES34,AES CORP
A1FL34,AFLAC INC
A1GI34,AGILENT TECHNOLOGIES INC
A1GN34,ALLEGION PLC
A1IV34,APARTMENT INVESTMENT & MANAGEMENT CO
A1JG34,ARTHUR J GALLAGHER & CO
A1KA34,AKAMAI TECHNOLOGIES INC
A1LB34,ALBEMARLE CORP
A1LG34,ALIGN TECHNOLOGY INC
A1LK34,ALASKA AIR GROUP INC
A1LL34,ALLIANCE DATA SYSTEMS CORP
A1LN34,ALNYLAM PHARMACEUTICALS INC
A1LX34,ALEXION PHARMACEUTICALS INC
A1MB34,AMERISOURCEBERGEN CORP
A1MD34,ADVANCED MICRO DEVICES INC
A1ME34,AMETEK INC
A1MP34,AMERIPRISE FINANCIAL INC
A1MT34,APPLIED MATERIALS INC
A1NE34,ARISTA NETWORKS INC
A1NS34,ANSYS INC
A1NT34,ANTHEM INC
A1ON34,AON PLC
A1OS34,AO SMITH CORP
A1PA34,APACHE CORP
A1PD34,AIR PRODUCTS & CHEMICALS INC
A1PH34,AMPHENOL CORP
A1RE34,ALEXANDRIA REAL ESTATE EQUITIES INC
A1SU34,ASSURANT INC
A1TM34,ATMOS ENERGY CORP
A1TT34,ALLSTATE CORP
A1UT34,AUTODESK INC
A1VB34,AVALONBAY COMMUNITIES INC
A1VY34,AVERY DENNISON CORP
A1WK34,AMERICAN WATER WORKS CO INC
A1YX34,ALTERYX INC
AALL34,AMERICAN AIRLINES GROUP INC.
AALR3,CENTRO DE IMAGEM DIAGNOSTICOS S.A.
AAPL34,APPLE INC.
ABBV34,ABBVIE INC.
ABCB10,BCO ABC BRASIL S.A.
ABCB4,BCO ABC BRASIL S.A.
ABCP11,FDO INV IMOB GRAND PLAZA SHOPPING
ABEV3,AMBEV S.A.
ABTT34,ABBOTT LABORATORIES
ABUD34,ANHEUSER-BUSCH INBEV SA/NV
ACNB34,ACCENTURE PLC
ADBE34,ADOBE INC
ADHM3,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
ADPR34,AUTOMATIC DATA PROCESSING INC
AFCF11,AFRICA FILMES S/C LTDA.
AFCR11,AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.
AFCV12,A F CINEMA E VIDEO LTDA
AFLT3,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
AFOF11,ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO
AGBK10,BANCO AGIBANK S.A.
AGBK11,BANCO AGIBANK S.A.
AGBK4,BANCO AGIBANK S.A.
AGRA4,AGRALE S/A
AGRO3,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
AHEB3,SAO PAULO TURISMO S.A.
AHEB5,SAO PAULO TURISMO S.A.
AHEB6,SAO PAULO TURISMO S.A.
AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.
AIGB34,AMERICAN INTERNATIONAL GROUP INC.
ALEF3B,ALEF S.A.
ALMI11,FDO INV IMOB - FII TORRE ALMIRANTE
ALPA3,ALPARGATAS S.A.
ALPA4,ALPARGATAS S.A.
ALPK3,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALSO3,ALIANSCE SONAE SHOPPING CENTERS S.A.
ALUP11,ALUPAR INVESTIMENTO S/A
ALUP3,ALUPAR INVESTIMENTO S/A
ALUP4,ALUPAR INVESTIMENTO S/A
ALZR11,ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
AMAR3,MARISA LOJAS S.A.
AMBP3,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
AMGN34,AMGEN INC.
AMZG11,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZG3,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZG9,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZO34,"AMAZON.COM, INC"
ANCR11B,FDO INV IMOB - FII ANCAR IC
ANGC11,FDO INV IMOB RENDA CORPORATIVA ANGICO - FII
ANIM3,ANIMA HOLDING S.A.
APER3,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
APTI3,SIDERURGICA J. L. ALIPERTI S.A.
APTI4,SIDERURGICA J. L. ALIPERTI S.A.
APTV34,APTIV PLC
AQLL11,ÁQUILLA FDO INV IMOB - FII
ARCT11,RIZA ARCTIUM REAL ESTATE FDO INV IMOB
ARCT13,RIZA ARCTIUM REAL ESTATE FDO INV IMOB
ARFI11B,AQ3 RENDA FDO INV IMOB - FII
ARMT11,ARCELORMITTAL
ARMT34,ARCELORMITTAL
ARNC34,HOWMET AEROSPACE INC.
ARRI11,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS
ARZZ3,AREZZO INDÚSTRIA E COMÉRCIO S.A.
ASML34,ASML HOLDING NV
ATCR11,HAZ FDO INV IMOB - FII
ATCR13,HAZ FDO INV IMOB - FII
ATMP3,ATMA PARTICIPAÇÕES S.A.
ATOM3,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
ATSA11,HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB
ATTB34,AT&T INC.
ATVI34,ACTIVISION BLIZZARD INC
AURA32,AURA MINERALS INC.
AVGO34,BROADCOM INC
AVLL3,ALPHAVILLE S.A.
AWII34,ARMSTRONG WORLD INDUSTRIES INC
AXPB34,AMERICAN EXPRESS COMPANY
AZEV3,AZEVEDO E TRAVASSOS S.A.
AZEV4,AZEVEDO E TRAVASSOS S.A.
AZOI34,AUTOZONE INC
AZUL4,AZUL S.A.
B1AM34,BROOKFIELD ASSET MANAGEMENT INC
B1AX34,BAXTER INTERNATIONAL INC
B1BT34,TRUIST FINANCIAL CORPORATION
B1DX34,BECTON DICKINSON AND CO
B1FC34,BROWN FORMAN CORP
B1KR34,BAKER HUGHES CO
